

wavelength (um), T
1.16895, 0.934905
1.16818, 0.879232
1.16741, 0.641846
1.16664, 0.315657
1.16587, 0.843109
1.16511, 0.956114
1.16434, 0.984157
1.16358, 0.97971
1.16282, 0.969988
1.16205, 0.971448
1.16129, 0.983351
1.16053, 0.992962
1.15978, 0.990842
1.15902, 0.980984
1.15826, 0.975581
1.1575, 0.980884
1.15675, 0.990254
1.156, 0.992168
1.15524, 0.983827
1.15449, 0.974615
1.15374, 0.975259
1.15299, 0.984975
1.15224, 0.991423
1.15149, 0.984155
1.15075, 0.966953
1.15, 0.954999


